,,,threshold,pp,pn,prevalence,pred-prevalence,fpr,tnr,tpr,fnr,accuracy,precision,roc_auc,f1,threshold_group-0,pp_group-0,pn_group-0,prevalence_group-0,pred-prevalence_group-0,fpr_group-0,tnr_group-0,tpr_group-0,fnr_group-0,accuracy_group-0,precision_group-0,roc_auc_group-0,f1_group-0,threshold_group-1,pp_group-1,pn_group-1,prevalence_group-1,pred-prevalence_group-1,fpr_group-1,tnr_group-1,tpr_group-1,fnr_group-1,accuracy_group-1,precision_group-1,roc_auc_group-1,f1_group-1,fpr_ratio,fpr_diff,fnr_ratio,fnr_diff
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.005,validation,0.378225980782,4483.0,76400.0,0.0092231989416811,0.0554257384122745,0.0499893931642062,0.9500106068357936,0.6394101876675603,0.3605898123324397,0.9471458773784356,0.1064019629712246,0.908421272270968,0.1824440619621342,0.378225980782,1228.0,22782.0,0.0052061640982923,0.0511453561016243,0.0485660456353359,0.951433954364664,0.544,0.456,0.9493127863390254,0.0553745928338762,0.8836672388528365,0.1005173688100517,0.378225980782,3255.0,53618.0,0.0109190652858122,0.0572327818121076,0.0505937566664296,0.9494062433335704,0.6586151368760065,0.3413848631239936,0.9462310762576266,0.125652841781874,0.9137325215733249,0.2110423116615067,0.9599217143636402,0.0020277110310936,0.7486510156227929,0.1146151368760064
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.005,test,0.391756860978,3881.0,64545.0,0.011369947096133,0.0567182065296817,0.049994087038789,0.950005912961211,0.6413881748071979,0.358611825192802,0.9464969456054716,0.1285751095078588,0.9135538941333696,0.2142090577377119,0.391756860978,1117.0,19368.0,0.0065901879423968,0.0545277031974615,0.0506142506142506,0.9493857493857494,0.6444444444444445,0.3555555555555555,0.9473761288747864,0.0778871978513876,0.8910434070434071,0.1389776357827476,0.391756860978,2764.0,45177.0,0.0134123193091508,0.0576541999541102,0.0497272611949765,0.9502727388050236,0.640746500777605,0.359253499222395,0.9461212740660396,0.1490593342981186,0.9187414800976988,0.2418550044027003,0.9824755003085168,0.000886989419274,0.9897065897065898,0.0036979436668394
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.006,validation,0.199518778002,4463.0,76420.0,0.0092231989416811,0.0551784676631677,0.0499893931642062,0.9500106068357936,0.6126005361930295,0.3873994638069705,0.9468986066293288,0.1023974904772574,0.8937644685620647,0.1754655404108274,0.199518778002,1347.0,22663.0,0.0052061640982923,0.0561016243231986,0.0533389156374293,0.9466610843625708,0.584,0.416,0.9447730112453144,0.0541945063103192,0.8626579024492359,0.0991847826086956,0.199518778002,3116.0,53757.0,0.0109190652858122,0.0547887398238179,0.0485671620564602,0.9514328379435398,0.6183574879227053,0.3816425120772946,0.9477959664515676,0.1232349165596919,0.9009894856628036,0.2055124431362055,0.9105389840804964,0.0047717535809691,0.9174098848011892,0.0343574879227053
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.006,test,0.227200149037,3846.0,64580.0,0.011369947096133,0.0562067050536345,0.049994087038789,0.950005912961211,0.596401028277635,0.403598971722365,0.9459854441294244,0.1206448257930317,0.896610220181043,0.2006920415224913,0.227200149037,1216.0,19269.0,0.0065901879423968,0.0593605076885526,0.056019656019656,0.943980343980344,0.562962962962963,0.437037037037037,0.9414693678301196,0.0625,0.865069069069069,0.1125092524056254,0.227200149037,2630.0,45311.0,0.0134123193091508,0.0548590976408502,0.0474015814622182,0.9525984185377816,0.6034214618973561,0.3965785381026439,0.9479151456999227,0.1475285171102661,0.9047854945977348,0.2370913534983195,0.8461598094352122,0.0086180745574377,0.9074254685399478,0.0404584989343931
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.007,validation,0.571731438369,4500.0,76383.0,0.0092231989416811,0.0556359185490152,0.0499893931642062,0.9500106068357936,0.6621983914209115,0.3378016085790885,0.9473560575151764,0.1097777777777777,0.9101316308154724,0.1883339687380861,0.571731438369,1130.0,22880.0,0.0052061640982923,0.0470637234485631,0.0444211848440443,0.9555788151559556,0.552,0.448,0.9534777176176592,0.0610619469026548,0.876644588653967,0.1099601593625498,0.571731438369,3370.0,53503.0,0.0109190652858122,0.0592548309391099,0.0523536940908767,0.9476463059091232,0.6843800322061192,0.3156199677938808,0.9447716842790076,0.1261127596439169,0.9165988501478796,0.2129792032072162,0.848482339506684,0.0079325092468323,0.7045088566827697,0.1323800322061191
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.007,test,0.576107606997,3899.0,64527.0,0.011369947096133,0.0569812644316487,0.049994087038789,0.950005912961211,0.6645244215938303,0.3354755784061696,0.9467600035074388,0.1325981020774557,0.9154688423425176,0.2210818901004917,0.576107606997,1053.0,19432.0,0.0065901879423968,0.0514034659506956,0.0475675675675675,0.9524324324324324,0.6296296296296297,0.3703703703703703,0.9503051012936294,0.080721747388414,0.8953160433160433,0.143097643097643,0.576107606997,2846.0,45095.0,0.0134123193091508,0.0593646356980455,0.0510380988625311,0.9489619011374688,0.671850699844479,0.328149300155521,0.9452451972215848,0.151791988756149,0.9194665410871948,0.2476354256233878,0.9320011643789606,0.0034705312949636,0.8860031104199068,0.0422210702148493
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.008,validation,0.037433318073,4447.0,76436.0,0.0092231989416811,0.0549806510638824,0.0499893931642062,0.9500106068357936,0.5911528150134048,0.4088471849865951,0.9467007900300434,0.0991679784124128,0.8750600220446882,0.169844020797227,0.037433318073,1281.0,22729.0,0.0052061640982923,0.0533527696793002,0.0507850115135022,0.9492149884864978,0.544,0.456,0.9471053727613494,0.0530835284933645,0.8474587397948504,0.096728307254623,0.037433318073,3166.0,53707.0,0.0109190652858122,0.0556678916181667,0.0496515679442508,0.9503484320557491,0.6006441223832528,0.3993558776167472,0.9465299878677051,0.1178142766898294,0.8817020841227131,0.1969897016107737,0.9776815336755418,0.0011334435692513,0.8757804333700596,0.0566441223832528
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.008,test,0.042825210191,3846.0,64580.0,0.011369947096133,0.0562067050536345,0.049994087038789,0.950005912961211,0.596401028277635,0.403598971722365,0.9459854441294244,0.1206448257930317,0.8777654683977305,0.2006920415224913,0.042825210191,1158.0,19327.0,0.0065901879423968,0.0565291676836709,0.053071253071253,0.946928746928747,0.5777777777777777,0.4222222222222222,0.944495972662924,0.0673575129533678,0.8602904722904724,0.1206496519721577,0.042825210191,2688.0,45253.0,0.0134123193091508,0.0560689180450971,0.0486701340437227,0.9513298659562772,0.6003110419906688,0.3996889580093312,0.946621889405728,0.1436011904761904,0.8826815741652461,0.2317622335634944,0.9170715072127394,0.0044011190275302,0.9466317426536792,0.0225332642128909
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.009,validation,0.158902678627,4491.0,76392.0,0.0092231989416811,0.0555246467119172,0.0499893931642062,0.9500106068357936,0.6501340482573726,0.3498659517426273,0.9472447856780782,0.1079937653083945,0.9034472166147376,0.1852205461141875,0.158902678627,1322.0,22688.0,0.0052061640982923,0.0550603915035401,0.052166631777266,0.947833368222734,0.608,0.392,0.9460641399416908,0.0574886535552193,0.8800432070337032,0.1050449205252246,0.158902678627,3169.0,53704.0,0.0109190652858122,0.0557206407258277,0.0490649221361018,0.9509350778638982,0.6586151368760065,0.3413848631239936,0.9477432173439068,0.1290627958346481,0.9089575401606048,0.2158311345646438,0.9405422674324174,0.0031017096411642,0.8708797528673305,0.0506151368760064
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.009,test,0.173574469117,3888.0,64538.0,0.011369947096133,0.0568205068248911,0.049994087038789,0.950005912961211,0.6503856041131105,0.3496143958868895,0.946599245900681,0.1301440329218107,0.9123907584216376,0.2168881268752678,0.173574469117,1189.0,19296.0,0.0065901879423968,0.0580424701000732,0.0542997542997542,0.9457002457002456,0.6222222222222222,0.3777777777777777,0.9435684647302904,0.0706476030277544,0.881995813995814,0.1268882175226586,0.173574469117,2699.0,45242.0,0.0134123193091508,0.0562983667424542,0.0481415704680959,0.951858429531904,0.656298600311042,0.343701399688958,0.9478942867274358,0.1563542052612078,0.9198723595413404,0.2525433871932974,0.8865891031907255,0.0061581838316583,0.9097978227060654,0.0340763780888197
